nodeIDs,year,month,day,hour,min,sec,moisture,latitude,longitude,altitude,satellites
1,2019,Mar,26,15,0,1,0.2,TBD,TBD,TBD,TBD
2,2019,Mar,26,15,0,1,0.3,TBD,TBD,TBD,TBD
3,2019,Mar,26,15,0,1,0.25,TBD,TBD,TBD,TBD
1,2019,Mar,26,15,0,2,0.28,TBD,TBD,TBD,TBD
2,2019,Mar,26,15,0,2,0.35,TBD,TBD,TBD,TBD
3,2019,Mar,26,15,0,2,0.21,TBD,TBD,TBD,TBD
1,2019,Mar,26,15,0,3,0.32,TBD,TBD,TBD,TBD
2,2019,Mar,26,15,0,3,0.28,TBD,TBD,TBD,TBD
3,2019,Mar,26,15,0,3,0.24,TBD,TBD,TBD,TBD
1,2019,Mar,26,15,0,4,0.33,TBD,TBD,TBD,TBD
2,2019,Mar,26,15,0,4,0.2,TBD,TBD,TBD,TBD
3,2019,Mar,26,15,0,4,0.31,TBD,TBD,TBD,TBD
1,2019,Mar,26,15,0,5,0.25,TBD,TBD,TBD,TBD
2,2019,Mar,26,15,0,5,0.25,TBD,TBD,TBD,TBD
3,2019,Mar,26,15,0,5,0.5,TBD,TBD,TBD,TBD
1,2019,Mar,26,15,0,6,1,TBD,TBD,TBD,TBD
2,2019,Mar,26,15,0,6,1.1,TBD,TBD,TBD,TBD
3,2019,Mar,26,15,0,6,1.2,TBD,TBD,TBD,TBD
